Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud

20/06/2021,32.2,36.0,28.5,0.0,1001.8,184,10,2
19/06/2021,31.6,35.8,27.3,0.0,1003.1,183,13,2
18/06/2021,30.9,35.3,26.4,0.0,1005.6,189,10,2
17/06/2021,30.2,34.0,26.4,2,1007.1,190,10,2
16/06/2021,30.0,33.6,26.4,1.7,1006.1,157,8,2
15/06/2021,29.6,33.3,25.9,2,1003.9,178,11,2
14/06/2021,29.0,32.1,25.9,5.7,1005.0,148,6,2
13/06/2021,28.9,32.1,25.8,11.4,1007.8,109,7,2
12/06/2021,29.2,33.7,24.8,1.8,1008.1,111,7,2
11/06/2021,29.6,34.3,24.8,2,1006.3,39,8,2
10/06/2021,29.4,34.3,24.5,8.9,1005.4,354,6,2
09/06/2021,29.1,34.4,23.7,0.0,1006.7,131,7,2
08/06/2021,29.1,34.4,23.7,0.0,1007.8,49,6,2
07/06/2021,28.4,34.8,22.1,0.0,1007.3,69,7,2
06/06/2021,28.3,34.8,21.8,0.0,1005.1,348,6,2
05/06/2021,26.3,30.8,21.8,0.0,1004.6,350,7,2
